	stats	GSM206607	GSM206608	GSM206609	GSM206610	GSM206611	GSM206612	GSM206613	GSM206614	GSM206615	GSM206616
1	 Min. 1st	48	47	57	38	55	53	48	60	50	50
2	 Qu.	112	87	109	115	116	106	98	117	97	103
3	Median	160	125	154	168	173	158	148	169	142	150
4	Mean 3rd 	409.3	327.3	401.4	418	496.2	428.9	399.9	418.3	361.7	405.1
5	Qu.	311	247	298	331	364	325	302	329	281	301
6	Max.	65534	24721	65533	65534	30380	65534	27437	65534	65533	26094
											
    											
